eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp139873526,2022-10-24,2022-10-24 15:07:43 UTC,39.9488333333,-75.197075,Blue-headed Vireo,Vireo solitarius,Blue-headed Vireo,
bsp140072564,2022-10-26,2022-10-26 11:26:36 UTC,39.9538625328,-75.1499776194,Brown Creeper,Certhia americana,Brown Creeper,"Window strike, collected for ANS"
bsp140113220,2022-10-24,2022-10-24 17:55:59 UTC,39.9805443997,-75.1560139,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140113245,2022-10-26,2022-10-26 13:50:50 UTC,39.9814608,-75.1527463997,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140142948,2022-10-26,2022-10-26 11:43:30 UTC,39.9501213588,-75.1507677916,Gray Catbird,Dumetella carolinensis,Gray Catbird,Window strike across the street from Independence National Historical Park. Stunned but ran/flew away.
bsp140147964,2022-10-27,2022-10-27 12:20:00 UTC,39.9819314621,-75.1552970539,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,"Stunned, captured, delivered to Philly Metro for treatment"
bsp140148278,2022-10-27,2022-10-27 12:19:47 UTC,39.9819238266,-75.1552873581,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Window strike. Collected for Philly Bird Safe
bsp140148437,2022-10-27,2022-10-27 12:16:53 UTC,39.9816900666,-75.1553804207,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Collected for Philly bird safe
bsp140148859,2022-10-27,2022-10-27 12:14:49 UTC,39.9817727042,-75.1553564891,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Flew into glass once then evaded capture and flew into bushes across street.
bsp140149107,2022-10-27,2022-10-27 12:14:31 UTC,39.9818198175,-75.1553018696,Song Sparrow,Melospiza melodia,Song Sparrow,collected for Philly Bird Safe
bsp140149508,2022-10-27,2022-10-27 12:09:25 UTC,39.9819409906,-75.1556674028,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Collected for Philly bird safe
bsp140150004,2022-10-19,2022-10-19 13:57:40 UTC,39.9818773265,-75.1552801954,Lincoln's Sparrow,Melospiza lincolnii,Lincoln's Sparrow,Photo of back of bird lost. Bird was found on table like this.
bsp140150103,2022-10-18,2022-10-18 20:31:35 UTC,39.9810851056,-75.157559226,Ruby-crowned Kinglet,Corthylio calendula,Ruby-crowned Kinglet,Smashed and deteriorated. Thrown away.
bsp140150942,2022-10-14,2022-10-14 14:12:06 UTC,39.9819177333,-75.1553096609,American Woodcock,Scolopax minor,American Woodcock,Collected for Philly Bird Safe
bsp140151195,2022-10-14,2022-10-14 14:11:28 UTC,39.9818804041,-75.1552828601,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Collected for Philly Bird Safe
bsp140151534,2022-10-11,2022-10-11 20:54:37 UTC,39.9814758604,-75.1556033944,Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Window strike. Collected for Philly bird safe. South side of Charles Library
bsp140154488,2022-10-10,2022-10-10 15:36:20 UTC,39.981608026,-75.1539474872,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Collected for Philly bird safe
